"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","29/220","279/14484",2.26295662632052e-16,4.42315522557115e-14,3.92507654655947e-14,"Stat1/Irgm1/Zbp1/Isg15/Tap1/Irf7/Samhd1/Igtp/Stat2/Gbp4/Dtx3l/Oas1a/Parp14/Parp9/Tap2/Nlrc5/Oas3/Oas1g/Irf1/Serping1/Ifi203/Ddx60/Ifi35/Trafd1/Gbp5/Clec2d/Cd74/Lgals9/Hmgb2",29
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","12/220","24/14484",2.57160187533207e-16,4.42315522557115e-14,3.92507654655947e-14,"Tap1/Tapbp/B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",12
"GO:0019885","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","12/220","24/14484",2.57160187533207e-16,4.42315522557115e-14,3.92507654655947e-14,"Tap1/Tapbp/B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",12
"GO:0002474","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","13/220","33/14484",7.03794615420445e-16,1.12406054291437e-13,9.97483345915443e-14,"Tap1/Tapbp/B2m/H2-T22/Tap2/Tapbpl/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",13
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","12/220","26/14484",8.94226354125449e-16,1.33299341854967e-13,1.1828888965098e-13,"Tap1/Tapbp/B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",12
"GO:0071346","GO:0071346","cellular response to interferon-gamma","18/220","93/14484",2.45425874452233e-15,3.42982659546995e-13,3.04360377198986e-13,"Gbp2/Stat1/Gbp3/Irgm1/Gbp7/Igtp/Gbp6/Gbp9/Gbp10/Gbp4/Parp14/Gbp8/Parp9/Nlrc5/Irf1/Gbp5/H2-Q7/H2-Ab1",18
"GO:0002428","GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","10/220","18/14484",2.09645614293809e-14,2.75745643271151e-12,2.4469472628101e-12,"B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",10
"GO:0042742","GO:0042742","defense response to bacterium","22/220","180/14484",4.03581528344441e-14,5.01337942987872e-12,4.44883731537586e-12,"Gbp2/Gbp3/Irgm1/Gbp7/Isg15/Iigp1/Igtp/Gbp6/Irgm2/Romo1/Fau/Gbp9/Gbp10/Gbp4/B2m/Oas1a/Gbp8/Oas3/Oas1g/H2-K1/Lgals9/Hmgb2",22
"GO:0002475","GO:0002475","antigen processing and presentation via MHC class Ib","10/220","21/14484",1.62391042328984e-13,1.86890245655079e-11,1.65845077233699e-11,"B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",10
"GO:0045824","GO:0045824","negative regulation of innate immune response","14/220","59/14484",1.67164799333702e-13,1.86890245655079e-11,1.65845077233699e-11,"Isg15/Tap1/Samhd1/Stat2/Oas1a/Parp14/Tap2/Nlrc5/Oas3/Oas1g/Serping1/Trafd1/Clec2d/Lgals9",14
"GO:0002476","GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","9/220","17/14484",7.99469321260225e-13,8.12551546517211e-11,7.21052473959581e-11,"H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",9
"GO:0002484","GO:0002484","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway","9/220","17/14484",7.99469321260225e-13,8.12551546517211e-11,7.21052473959581e-11,"H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",9
"GO:0042832","GO:0042832","defense response to protozoan","10/220","26/14484",2.28854880947395e-12,2.22486745129729e-10,1.97433158162856e-10,"Gbp2/Gbp3/Gbp7/Iigp1/Gbp6/Irgm2/Gbp9/Gbp10/Gbp4/Gbp8",10
"GO:0031347","GO:0031347","regulation of defense response","31/220","470/14484",5.00411686567814e-12,4.6621688798568e-10,4.13717556658039e-10,"Stat1/Irgm1/Zbp1/Isg15/Tap1/Irf7/Samhd1/Igtp/Stat2/Gbp4/Dtx3l/Oas1a/Parp14/Parp9/Tap2/Nlrc5/Oas3/Oas1g/Irf1/Serping1/Ifi203/Ifi35/Trafd1/Gbp5/Clec2d/Cd74/Lgals9/Nupr1/Ptgs2/Hmgb2/C3",31
"GO:0001562","GO:0001562","response to protozoan","10/220","29/14484",8.29317178190911e-12,7.13212773244184e-10,6.32899951777275e-10,"Gbp2/Gbp3/Gbp7/Iigp1/Gbp6/Irgm2/Gbp9/Gbp10/Gbp4/Gbp8",10
"GO:0001916","GO:0001916","positive regulation of T cell mediated cytotoxicity","10/220","29/14484",8.29317178190911e-12,7.13212773244184e-10,6.32899951777275e-10,"B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",10
"GO:0050778","GO:0050778","positive regulation of immune response","29/220","426/14484",1.20782400783475e-11,1.00025721537722e-09,8.8762115195653e-10,"Irgm1/Zbp1/Irf7/Igtp/B2m/Parp9/H2-T22/Tap2/Nlrc5/Rsad2/Irf1/Serping1/Ifi203/Ifi35/H2-T23/Gm7030/Cfb/H2-Q6/Gbp5/H2-K1/Cd74/H2-Q7/Lgals9/H2-D1/H2-Ab1/H2-Q4/Hmgb2/C3/Lgals3",29
"GO:0001906","GO:0001906","cell killing","18/220","151/14484",1.40742832837597e-11,1.12393205080309e-09,9.97369322928082e-10,"Cxcl9/Tap1/Romo1/B2m/H2-T22/Tap2/H2-T23/Cxcl10/Gm7030/H2-Q6/H2-K1/Clec2d/H2-Q7/Lgals9/H2-D1/H2-Q4/C3/Lgals3",18
"GO:0060337","GO:0060337","type I interferon signaling pathway","11/220","41/14484",1.63778877189236e-11,1.22069856465044e-09,1.08323924035688e-09,"Stat1/Zbp1/Isg15/Irf7/Samhd1/Stat2/Ifitm3/Oas1a/Nlrc5/Oas3/Oas1g",11
"GO:0071357","GO:0071357","cellular response to type I interferon","11/220","41/14484",1.63778877189236e-11,1.22069856465044e-09,1.08323924035688e-09,"Stat1/Zbp1/Isg15/Irf7/Samhd1/Stat2/Ifitm3/Oas1a/Nlrc5/Oas3/Oas1g",11
"GO:0019884","GO:0019884","antigen processing and presentation of exogenous antigen","10/220","31/14484",1.78826956253216e-11,1.28986152961997e-09,1.14461396447305e-09,"Psme1/Tap1/Tapbp/Psme2/B2m/Tap2/H2-K1/Cd74/H2-Aa/H2-Ab1",10
"GO:0002486","GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","8/220","16/14484",2.89247898662811e-11,2.02111969190639e-09,1.7935272663796e-09,"H2-T22/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",8
"GO:0035455","GO:0035455","response to interferon-alpha","9/220","25/14484",6.04555943995359e-11,4.09632451749583e-09,3.63504929643143e-09,"Tgtp1/Ifitm3/Ifit1/Bst2/Oas1a/Ifit3/Oas1g/Eif2ak2/Ifit2",9
"GO:0034340","GO:0034340","response to type I interferon","11/220","47/14484",8.33557344198605e-11,5.48186535772965e-09,4.86456840190208e-09,"Stat1/Zbp1/Isg15/Irf7/Samhd1/Stat2/Ifitm3/Oas1a/Nlrc5/Oas3/Oas1g",11
"GO:0002832","GO:0002832","negative regulation of response to biotic stimulus","14/220","91/14484",8.75149901861458e-11,5.5909576587492e-09,4.96137613536496e-09,"Isg15/Tap1/Samhd1/Stat2/Oas1a/Parp14/Tap2/Nlrc5/Oas3/Oas1g/Serping1/Trafd1/Clec2d/Lgals9",14
"GO:0001914","GO:0001914","regulation of T cell mediated cytotoxicity","10/220","36/14484",9.59120826156772e-11,5.9572060202404e-09,5.28638233130268e-09,"B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",10
"GO:0006119","GO:0006119","oxidative phosphorylation","14/220","92/14484",1.01851207730281e-10,6.15511622932183e-09,5.46200644584862e-09,"Atp5e/Cox7c/Cox7a2/Atp5j2/Atp5k/Uqcrb/Uqcc2/Uqcr10/Ndufv3/Uqcrq/Cox5b/Ndufa7/Uqcrh/Nupr1",14
"GO:0001910","GO:0001910","regulation of leukocyte mediated cytotoxicity","13/220","80/14484",2.0644844758929e-10,1.21478612844645e-08,1.07799258644269e-08,"Tap1/B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/Clec2d/H2-Q7/Lgals9/H2-D1/H2-Q4",13
"GO:0060759","GO:0060759","regulation of response to cytokine stimulus","15/220","116/14484",2.32885237522067e-10,1.33520869512652e-08,1.18485471721754e-08,"Irgm1/Zbp1/Isg15/Irf7/Samhd1/Igtp/Stat2/Oas1a/Parp14/Parp9/Nlrc5/Oas3/Oas1g/Ifih1/Cd74",15
"GO:0050777","GO:0050777","negative regulation of immune response","17/220","157/14484",2.46309776683315e-10,1.37687165165973e-08,1.22182612907381e-08,"Col3a1/Isg15/Tap1/Samhd1/Stat2/Oas1a/Parp14/Tap2/Nlrc5/Oas3/Oas1g/Irf1/Serping1/Trafd1/Clec2d/Lgals9/Lgals3",17
"GO:0002711","GO:0002711","positive regulation of T cell mediated immunity","11/220","53/14484",3.36799104095256e-10,1.8367873091634e-08,1.62995201853545e-08,"B2m/H2-T22/Tap2/Rsad2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",11
"GO:0060338","GO:0060338","regulation of type I interferon-mediated signaling pathway","9/220","30/14484",3.96358964630139e-10,2.11013963074521e-08,1.87252292813988e-08,"Zbp1/Isg15/Irf7/Samhd1/Stat2/Oas1a/Nlrc5/Oas3/Oas1g",9
"GO:0001959","GO:0001959","regulation of cytokine-mediated signaling pathway","14/220","106/14484",7.08610606944382e-10,3.68477515611078e-08,3.26984331478619e-08,"Irgm1/Zbp1/Isg15/Irf7/Samhd1/Igtp/Stat2/Oas1a/Parp14/Parp9/Nlrc5/Oas3/Oas1g/Cd74",14
"GO:0050830","GO:0050830","defense response to Gram-positive bacterium","12/220","73/14484",9.0913668045322e-10,4.620067312485e-08,4.09981493457971e-08,"Gbp2/Gbp3/Gbp7/Gbp6/Romo1/Fau/Gbp9/Gbp10/Gbp4/B2m/Gbp8/Hmgb2",12
"GO:0002449","GO:0002449","lymphocyte mediated immunity","20/220","248/14484",1.23962449326052e-09,6.05667449635555e-08,5.37464995086631e-08,"Tap1/Irf7/B2m/H2-T22/Tap2/Rsad2/Serping1/H2-T23/Gm7030/H2-Q6/H2-K1/Clec2d/Cd74/H2-Q7/H2-Aa/Lgals9/H2-D1/H2-Ab1/H2-Q4/C3",20
"GO:0031341","GO:0031341","regulation of cell killing","13/220","92/14484",1.24600638118227e-09,6.05667449635555e-08,5.37464995086631e-08,"Tap1/B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/Clec2d/H2-Q7/Lgals9/H2-D1/H2-Q4",13
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","22/220","305/14484",1.46884215155815e-09,6.98793840613621e-08,6.20104693322981e-08,"Stat1/Irgm1/Zbp1/Isg15/Cxcl9/Iigp1/Irf7/Oasl2/Samhd1/Igtp/Stat2/Ifitm3/Oas1a/Parp14/Parp9/Nlrc5/Oas3/Oas1g/Irf1/Cxcl10/Cd74/Krt18",22
"GO:0002821","GO:0002821","positive regulation of adaptive immune response","14/220","113/14484",1.67398843355473e-09,7.70612630403338e-08,6.83836177530502e-08,"B2m/H2-T22/Tap2/Rsad2/H2-T23/Gm7030/H2-Q6/H2-K1/Cd74/H2-Q7/H2-D1/H2-Ab1/H2-Q4/C3",14
"GO:0001913","GO:0001913","T cell mediated cytotoxicity","10/220","47/14484",1.68873071957798e-09,7.70612630403338e-08,6.83836177530502e-08,"B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",10
"GO:0002697","GO:0002697","regulation of immune effector process","22/220","309/14484",1.87410378239478e-09,8.38074237951723e-08,7.43701129149326e-08,"Tek/Tap1/B2m/Bst2/H2-T22/Tap2/Rsad2/Irf1/Serping1/Ddx60/H2-T23/Gm7030/H2-Q6/H2-K1/Clec2d/Cd74/H2-Q7/Lgals9/H2-D1/H2-Q4/C3/Lgals3",22
"GO:0045333","GO:0045333","cellular respiration","17/220","179/14484",1.91152889693819e-09,8.38074237951723e-08,7.43701129149326e-08,"Atp5e/Cox7c/Cox7a2/Atp5j2/Atp5k/Uqcrb/Ndufa5/Uqcc2/Uqcr10/Ndufv3/Oas1a/Oas1g/Uqcrq/Cox5b/Ndufa7/Uqcrh/Nupr1",17
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","8/220","25/14484",2.16071525302339e-09,9.29107558800057e-08,8.24483451811557e-08,"Tap1/Tapbp/B2m/Tap2/H2-K1/Cd74/H2-Aa/H2-Ab1",8
"GO:0045071","GO:0045071","negative regulation of viral genome replication","10/220","49/14484",2.60999502205801e-09,1.10112242817391e-07,9.77128225735719e-08,"Isg15/Oasl2/Ifitm3/Bst2/Oas1a/Rsad2/Oas3/Oas1g/Ifih1/Eif2ak2",10
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","12/220","82/14484",3.63333578517791e-09,1.50447015104774e-07,1.33505613159071e-07,"Ndufa3/Ndufc1/Cox17/Ndufa5/Ndufa2/Uqcc2/Pet100/Ndufb2/Ndufb4/Ndufa1/Cox20/Ndufa6",12
"GO:0060339","GO:0060339","negative regulation of type I interferon-mediated signaling pathway","7/220","18/14484",4.68165007057516e-09,1.90330355596474e-07,1.6889780637386e-07,"Isg15/Samhd1/Stat2/Oas1a/Nlrc5/Oas3/Oas1g",7
"GO:0002252","GO:0002252","immune effector process","27/220","485/14484",5.51793254402656e-09,2.20323163722203e-07,1.95513211381392e-07,"Tek/Tap1/Irf7/B2m/Bst2/H2-T22/Tap2/Rsad2/Irf1/Serping1/Ddx60/Ifi35/H2-T23/Gm7030/Cfb/H2-Q6/H2-K1/Clec2d/Cd74/H2-Q7/H2-Aa/Lgals9/H2-D1/H2-Ab1/H2-Q4/C3/Lgals3",27
"GO:0048525","GO:0048525","negative regulation of viral process","12/220","86/14484",6.35725416261712e-09,2.49382812414244e-07,2.21300537332101e-07,"Stat1/Isg15/Oasl2/Ifitm3/Bst2/Oas1a/Rsad2/Oas3/Oas1g/Ifih1/Eif2ak2/Cd74",12
"GO:0060333","GO:0060333","interferon-gamma-mediated signaling pathway","7/220","19/14484",7.31733934476799e-09,2.79142198692521e-07,2.477088054493e-07,"Stat1/Irgm1/Igtp/Parp14/Parp9/Nlrc5/Irf1",7
"GO:0002824","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","13/220","106/14484",7.36555891004416e-09,2.79142198692521e-07,2.477088054493e-07,"B2m/H2-T22/Tap2/Rsad2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Ab1/H2-Q4/C3",13
"GO:0002819","GO:0002819","regulation of adaptive immune response","16/220","175/14484",1.00670142898778e-08,3.75164065869445e-07,3.32917928709116e-07,"Irf7/B2m/H2-T22/Tap2/Rsad2/Irf1/H2-T23/Gm7030/H2-Q6/H2-K1/Cd74/H2-Q7/H2-D1/H2-Ab1/H2-Q4/C3",16
"GO:0009060","GO:0009060","aerobic respiration","14/220","134/14484",1.57523100461916e-08,5.77412545299743e-07,5.12391793564644e-07,"Atp5e/Cox7c/Cox7a2/Atp5j2/Atp5k/Uqcrb/Uqcc2/Uqcr10/Ndufv3/Uqcrq/Cox5b/Ndufa7/Uqcrh/Nupr1",14
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","15/220","157/14484",1.62646884985396e-08,5.86578120689266e-07,5.20525260097574e-07,"Tap1/B2m/H2-T22/Tap2/Rsad2/H2-T23/Gm7030/H2-Q6/H2-K1/Clec2d/H2-Q7/Lgals9/H2-D1/H2-Q4/C3",15
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity","13/220","116/14484",2.22837608169626e-08,7.90896653757593e-07,7.01836075855881e-07,"Tap1/B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/Clec2d/H2-Q7/Lgals9/H2-D1/H2-Q4",13
"GO:0002709","GO:0002709","regulation of T cell mediated immunity","11/220","78/14484",2.46480965617995e-08,8.61142873627871e-07,7.64172072680792e-07,"B2m/H2-T22/Tap2/Rsad2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",11
"GO:0046034","GO:0046034","ATP metabolic process","17/220","213/14484",2.65193252809619e-08,9.12264789665089e-07,8.09537298050416e-07,"Atp5e/Cox7c/Cox7a2/Atp5j2/Atp5k/Uqcrb/Uqcc2/Uqcr10/Ndufv3/Atpif1/Atp5l/Uqcrq/Cox5b/Ndufa7/Slc2a6/Uqcrh/Nupr1",17
"GO:0001912","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","10/220","62/14484",2.87466376115897e-08,9.73901237871434e-07,8.64233044622754e-07,"B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",10
"GO:0002443","GO:0002443","leukocyte mediated immunity","21/220","330/14484",3.19783568802286e-08,1.06721799976405e-06,9.47041676657202e-07,"Tap1/Irf7/B2m/Bst2/H2-T22/Tap2/Rsad2/Serping1/H2-T23/Gm7030/H2-Q6/H2-K1/Clec2d/Cd74/H2-Q7/H2-Aa/Lgals9/H2-D1/H2-Ab1/H2-Q4/C3",21
"GO:0002683","GO:0002683","negative regulation of immune system process","22/220","366/14484",4.10290201643981e-08,1.34913072187639e-06,1.1972090249209e-06,"Col3a1/Isg15/Tap1/Samhd1/Stat2/Bst2/Oas1a/Parp14/Tap2/Nlrc5/Oas3/Oas1g/Tapbpl/Irf1/Serping1/Trafd1/Clec2d/Cd74/H2-Aa/Lgals9/H2-Ab1/Lgals3",22
"GO:0060760","GO:0060760","positive regulation of response to cytokine stimulus","9/220","51/14484",6.39124570362456e-08,2.07113411497167e-06,1.83790971034818e-06,"Irgm1/Zbp1/Irf7/Igtp/Parp14/Parp9/Nlrc5/Ifih1/Cd74",9
"GO:0031343","GO:0031343","positive regulation of cell killing","10/220","68/14484",7.18011093229832e-08,2.29353257780272e-06,2.03526452742591e-06,"B2m/H2-T22/Tap2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",10
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","18/220","260/14484",9.11697297121223e-08,2.87120444558177e-06,2.54788644191772e-06,"Irf7/B2m/H2-T22/Tap2/Rsad2/Irf1/Serping1/H2-T23/Gm7030/H2-Q6/H2-K1/Cd74/H2-Q7/H2-Aa/H2-D1/H2-Ab1/H2-Q4/C3",18
"GO:0002708","GO:0002708","positive regulation of lymphocyte mediated immunity","12/220","111/14484",1.1749914738119e-07,3.64900129922697e-06,3.23809784815123e-06,"B2m/H2-T22/Tap2/Rsad2/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4/C3",12
"GO:0032728","GO:0032728","positive regulation of interferon-beta production","8/220","40/14484",1.26286197634085e-07,3.86816353301117e-06,3.43258085854724e-06,"Isg15/Irf7/Oas1a/Oas3/Oas1g/Irf1/Ifih1/Hmgb2",8
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","14/220","159/14484",1.38585710748324e-07,4.18753580044936e-06,3.71598954140243e-06,"B2m/H2-T22/Tap2/Rsad2/Irf1/H2-T23/Gm7030/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Ab1/H2-Q4/C3",14
"GO:0045089","GO:0045089","positive regulation of innate immune response","12/220","113/14484",1.43362994682004e-07,4.22522316492095e-06,3.74943304108652e-06,"Irgm1/Zbp1/Irf7/Igtp/Parp9/Nlrc5/Ifi203/Ifi35/Gbp5/Cd74/Lgals9/Hmgb2",12
"GO:0045069","GO:0045069","regulation of viral genome replication","10/220","73/14484",1.43612236374773e-07,4.22522316492095e-06,3.74943304108652e-06,"Isg15/Oasl2/Ifitm3/Bst2/Oas1a/Rsad2/Oas3/Oas1g/Ifih1/Eif2ak2",10
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity","16/220","216/14484",1.93611674618972e-07,5.62228187594833e-06,4.98917302333236e-06,"Tap1/B2m/Bst2/H2-T22/Tap2/Rsad2/H2-T23/Gm7030/H2-Q6/H2-K1/Clec2d/H2-Q7/Lgals9/H2-D1/H2-Q4/C3",16
"GO:0032481","GO:0032481","positive regulation of type I interferon production","9/220","59/14484",2.37602081289474e-07,6.81125966363159e-06,6.0442634713989e-06,"Stat1/Isg15/Irf7/Oas1a/Oas3/Oas1g/Irf1/Ifih1/Hmgb2",9
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","17/220","248/14484",2.42330084328401e-07,6.85886162732032e-06,6.08650511604312e-06,"Atp5e/Cox7c/Cox7a2/Atp5j2/Atp5k/Uqcrb/Ndufa5/Uqcc2/Uqcr10/Ndufv3/Oas1a/Oas1g/Uqcrq/Cox5b/Ndufa7/Uqcrh/Nupr1",17
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","20/220","342/14484",2.72272956608315e-07,7.61002913720242e-06,6.75308583166677e-06,"Atp5e/Cox7c/Cox7a2/Atp5j2/Cox17/Atp5k/Uqcrb/Ndufa5/Uqcc2/Uqcr10/Ndufv3/Oas1a/Oas1g/Uqcrq/Cox5b/Ndufa4/Ndufa7/Slc2a6/Uqcrh/Nupr1",20
"GO:0002699","GO:0002699","positive regulation of immune effector process","16/220","223/14484",2.99089693182746e-07,8.25635251798297e-06,7.3266286114292e-06,"Tek/B2m/H2-T22/Tap2/Rsad2/Irf1/Ddx60/H2-T23/Gm7030/H2-Q6/H2-K1/Cd74/H2-Q7/H2-D1/H2-Q4/C3",16
"GO:0002396","GO:0002396","MHC protein complex assembly","5/220","11/14484",3.31371380760904e-07,8.9331508263536e-06,7.92721462558918e-06,"Tapbp/B2m/Tapbpl/H2-Aa/H2-Ab1",5
"GO:0001961","GO:0001961","positive regulation of cytokine-mediated signaling pathway","8/220","45/14484",3.315972802269e-07,8.9331508263536e-06,7.92721462558918e-06,"Irgm1/Zbp1/Irf7/Igtp/Parp14/Parp9/Nlrc5/Cd74",8
"GO:0031348","GO:0031348","negative regulation of defense response","14/220","172/14484",3.66403154449293e-07,9.75330301605498e-06,8.65501185635234e-06,"Isg15/Tap1/Samhd1/Stat2/Oas1a/Parp14/Tap2/Nlrc5/Oas3/Oas1g/Serping1/Trafd1/Clec2d/Lgals9",14
