"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002250","GO:0002250","adaptive immune response","71/1402","322/13303",9.16040529742214e-10,3.81391386417829e-07,3.1845471904008e-07,"P2rx7/Gm11127/Cd274/H2-T24/Arid5a/Tnf/Havcr2/Eomes/Crlf2/Il1rl1/Il33/Serpinb9/Cd84/Crtam/Icam1/Relb/Trex1/Gadd45g/H2-Q10/Nckap1l/Pag1/Fcgr1/Smad7/Foxj1/Gm8909/Stx11/Il18r1/Inpp5d/C3ar1/Il6/Slc15a4/Lat2/Ripk3/Prkcq/Mad2l2/Prdm1/H2-Q1/Nfkbid/Cd40/Il1b/H2-Q2/Trbc1/Ptprc/Ccr7/Clec4d/Bcl3/Syk/Slc11a1/Muc4/Was/H2-DMa/Slamf1/Tnfsf13b/Ccr2/Cd79a/Fcgr3/Trdc/Il27/Nlrp3/Trbc2/C2/Il20rb/Myo1g/Lat/Pdcd1/Tnfsf4/Cd8b1/C9/Tnfrsf13c/Lag3/Il23r",71
"GO:0001906","GO:0001906","cell killing","39/1402","131/13303",9.75425540710561e-10,3.81391386417829e-07,3.1845471904008e-07,"P2rx7/Gm11127/H2-T24/Cadm1/Havcr2/Serpinb9/Crtam/Ulbp1/H2-Q10/Nckap1l/Fcgr1/Gm8909/Stx11/Ccl25/Ccl2/Ripk3/Ccl20/H2-Q1/H2-Q2/Itgam/Nos2/Dnase1l3/Ptprc/Serpinb9c/Cxcl1/Syk/Muc4/Klrb1b/Cxcl12/Fcgr3/Pomc/Klrc1/Ppbp/Pglyrp4/Ceacam1/Klrb1c/Vav1/C9/Lag3",39
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","58/1402","244/13303",1.7138115147845e-09,5.75055504453428e-07,4.80160658118646e-07,"P2rx7/Gm11127/Cd274/H2-T24/Arid5a/Tnf/Havcr2/Crlf2/Il1rl1/Il33/Serpinb9/Icam1/Relb/Trex1/Gadd45g/H2-Q10/Nckap1l/Fcgr1/Smad7/Foxj1/Gm8909/Stx11/Il18r1/Inpp5d/C3ar1/Il6/Slc15a4/Ripk3/Prkcq/Mad2l2/H2-Q1/Nfkbid/Cd40/Il1b/H2-Q2/Trbc1/Ptprc/Ccr7/Bcl3/Slc11a1/Muc4/Was/H2-DMa/Slamf1/Tnfsf13b/Ccr2/Fcgr3/Trdc/Il27/Nlrp3/Trbc2/C2/Il20rb/Myo1g/Tnfsf4/C9/Tnfrsf13c/Il23r",58
"GO:0031341","GO:0031341","regulation of cell killing","30/1402","87/13303",1.77985248433093e-09,5.75055504453428e-07,4.80160658118646e-07,"P2rx7/Gm11127/H2-T24/Cadm1/Havcr2/Serpinb9/Crtam/Ulbp1/H2-Q10/Nckap1l/Gm8909/Ccl2/Ripk3/H2-Q1/H2-Q2/Itgam/Nos2/Dnase1l3/Ptprc/Serpinb9c/Cxcl1/Syk/Muc4/Klrb1b/Pomc/Klrc1/Ceacam1/Klrb1c/Vav1/Lag3",30
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","63/1402","276/13303",1.94345645080412e-09,5.75055504453428e-07,4.80160658118646e-07,"Hspb1/Cd274/Ccl5/Ass1/Tnf/Havcr2/Klf4/Crtam/Icam1/Il2rg/Il15/Nckap1l/Itgb7/Adtrp/Pag1/Il1a/Smad7/Foxj1/Ccdc88b/Socs1/L1cam/Fut4/Cd5/Il6/Cebpb/Ccl25/Nr4a3/Lgals7/Ptafr/Ccl2/Prkcq/Nfkbid/Il1b/Selplg/Zc3h12d/Itgam/Ptprc/Ccr7/Syk/Runx3/Cd300a/Jam2/Cxcl12/H2-DMa/Slamf1/Tnfsf13b/Ccr2/Efnb3/Ikzf1/Slfn1/Btn1a1/Skint2/Ido1/Nlrp3/Il20rb/Itgal/Cd6/Tnfsf4/Ceacam1/Adora2a/Tnfsf11/Tnfrsf13c/Lag3",63
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","41/1402","145/13303",2.02563264126827e-09,5.75055504453428e-07,4.80160658118646e-07,"P2rx7/Gm11127/H2-T24/Arid5a/Tnf/Cadm1/Havcr2/Serpinb9/Crtam/Ulbp1/H2-Q10/Nckap1l/Fcgr1/Smad7/Foxj1/Gm8909/Il18r1/Il6/Slc15a4/Ripk3/Mad2l2/H2-Q1/Cd40/Il1b/H2-Q2/Ptprc/Serpinb9c/Muc4/Klrb1b/Was/Slamf1/Ccr2/Fcgr3/Nlrp3/Il20rb/Klrc1/Tnfsf4/Ceacam1/Klrb1c/Vav1/Lag3",41
"GO:0002697","GO:0002697","regulation of immune effector process","65/1402","289/13303",2.03639564827104e-09,5.75055504453428e-07,4.80160658118646e-07,"P2rx7/Ddx58/Gm11127/Dhx58/H2-T24/Arid5a/Tnf/Cadm1/Havcr2/Il33/Serpinb9/Cd84/Crtam/Ulbp1/Trex1/H2-Q10/Nckap1l/Gata2/Fcgr1/Smad7/Trim6/Foxj1/Gm8909/Il18r1/Hmox1/Il6/Nr4a3/Ptafr/Slc15a4/Ccl2/Ripk3/Mad2l2/H2-Q1/Nfkbid/Cd40/Il1b/H2-Q2/Itgam/Dnase1l3/Ptprc/Serpinb9c/Ccr7/Cxcl1/Syk/Muc4/Klrb1b/Cd300a/Was/Irak3/Slamf1/Ccr2/Fcgr3/Il27/Nlrp3/Il20rb/Pomc/Klrc1/Pglyrp4/Tnfsf4/Ceacam1/Klrb1c/Vav1/Pglyrp2/Blk/Lag3",65
"GO:0050778","GO:0050778","positive regulation of immune response","80/1402","388/13303",2.24866297304851e-09,6.01576520631873e-07,5.02305213702582e-07,"P2rx7/Gm11127/Trim30a/Cd274/Trim12c/H2-T24/Arid5a/Aim2/Tnf/Cadm1/Havcr2/Il33/Crtam/Ulbp1/Blnk/Trex1/H2-Q10/Il15/Nckap1l/Gata2/Fcgr1/Trim6/Gm8909/Il18r1/C3ar1/Il6/Nr4a3/Ptafr/Rnf31/Slc15a4/Lat2/Prkcq/Mad2l2/Ifi205/H2-Q1/Nfkbid/Cd40/Il1b/H2-Q2/Itgam/Trbc1/Ptprc/Ccr7/Trim12a/Cxcl1/Syk/Plcl2/Trim30d/Slc11a1/Cd300a/Rgcc/H2-DMa/Fyb/Slamf1/Tnfsf13b/Ereg/Ccr2/Cnr1/Cd79a/Btn1a1/Fcgr3/Trdc/Skint2/Ido1/Nlrp3/Trbc2/C2/Myo1g/Pomc/Mmp12/Klrc1/Tnfsf4/Klrb1c/Vav1/C9/Blk/Tnfrsf13c/Lag3/Themis2/Il23r",80
"GO:0042110","GO:0042110","T cell activation","81/1402","396/13303",2.63248574928487e-09,6.69046253180749e-07,5.58641186374557e-07,"Hspb1/P2rx7/Cd274/Ccl5/Jag2/Havcr2/Eomes/Trp53/Cd84/Crtam/Icam1/Il2rg/Relb/Mafb/Trex1/Hsh2d/Gadd45g/Il15/Nckap1l/Pag1/Il1a/Smad7/Foxj1/Stx11/Ccdc88b/Zeb1/Socs1/Il18r1/Cd5/Il6/Cebpb/Lgals7/Cyp26b1/Ccl2/Zbtb32/Ripk3/Prkcq/Prdm1/Nfkbid/Il1b/Zc3h12d/Itgam/Lepr/Ptprc/Ccr7/Clec4d/Bcl3/Syk/Dock2/Slc11a1/Runx3/Cd300a/Cxcl12/Was/H2-DMa/Slamf1/Tnfsf13b/Ccr2/Efnb3/Ptger4/Ikzf1/Slfn1/Btn1a1/Il27/Skint2/Ido1/Nlrp3/Il20rb/Lat/Wdfy4/Itgal/Clec4a1/Cd6/Tnfsf4/Ceacam1/Adora2a/Tnfsf11/Vav1/Wnt4/Tnfrsf13c/Lag3",81
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","58/1402","247/13303",2.79702563594311e-09,6.77013395595183e-07,5.65293602211661e-07,"Hspb1/Cd274/Ccl5/Ass1/Tnf/Havcr2/Klf4/Crtam/Icam1/Il2rg/Il15/Nckap1l/Adtrp/Pag1/Il1a/Smad7/Foxj1/Ccdc88b/Socs1/Fut4/Cd5/Il6/Cebpb/Ccl25/Nr4a3/Lgals7/Ptafr/Ccl2/Prkcq/Nfkbid/Il1b/Zc3h12d/Ptprc/Ccr7/Syk/Runx3/Cd300a/Cxcl12/H2-DMa/Slamf1/Tnfsf13b/Ccr2/Efnb3/Ikzf1/Slfn1/Btn1a1/Skint2/Ido1/Nlrp3/Il20rb/Itgal/Cd6/Tnfsf4/Ceacam1/Adora2a/Tnfsf11/Tnfrsf13c/Lag3",58
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","42/1402","154/13303",4.25817135794401e-09,9.83831136928609e-07,8.2148071364738e-07,"P2rx7/Gm11127/Cd274/H2-T24/Arid5a/Tnf/Havcr2/Il1rl1/Il33/H2-Q10/Nckap1l/Fcgr1/Smad7/Foxj1/Gm8909/Il18r1/Il6/Slc15a4/Ripk3/Prkcq/Mad2l2/H2-Q1/Nfkbid/Cd40/Il1b/H2-Q2/Ptprc/Ccr7/Slc11a1/Muc4/Was/H2-DMa/Slamf1/Tnfsf13b/Ccr2/Fcgr3/Il27/Nlrp3/Il20rb/Tnfsf4/Tnfrsf13c/Il23r",42
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","69/1402","321/13303",4.88508299848292e-09,1.07960334266473e-06,9.01448725395109e-07,"Hspb1/Dhx58/Trim30a/Trim12c/Fgfr1/Ccl5/Nfkbia/Pla2g7/Csf1r/Aim2/Tnf/Cadm1/Havcr2/Serpine1/Il1rl1/Il33/Optn/Crtam/Ulbp1/Nckap1l/Cebpa/Oasl1/S100a14/Pde2a/Fcgr1/Trim6/C3ar1/Il6/Cebpb/Edn1/Slc15a4/Ccl2/S1pr1/Smoc2/Ccr4/Ifi205/Il1b/P2ry12/Ccr7/Trim12a/Cxcl1/Syk/Trim30d/Gpr4/Cxcr2/Cxcl12/Slamf1/Ereg/Ccr2/Dysf/Ptger4/Cnr1/Nod1/Fcgr3/Apoh/Aoc3/Ido1/Osm/Pomc/Mmp12/Klrc1/Gas6/Trim15/Tnfsf4/Tnfsf11/Klrb1c/Vav1/Prkd1/Lag3",69
"GO:0002366","GO:0002366","leukocyte activation involved in immune response","52/1402","218/13303",1.04876899359929e-08,2.14814166159147e-06,1.79365836162581e-06,"Havcr2/Eomes/Trp53/Il33/Cd84/Icam1/Relb/Trex1/Gadd45g/Nckap1l/Gata2/Cdh17/Smad7/Stx11/Il18r1/Hmox1/Vamp2/Il6/Nr4a3/Ptafr/Slc15a4/Lat2/Mad2l2/Nfkbid/Cd40/Itgam/Dnase1l3/Ptprc/Ccr7/Clec4d/Bcl3/Syk/Plcl2/Dock2/Slc11a1/Dock11/Cd300a/Slamf1/Ccr2/Dysf/Ptger4/Il27/Nlrp3/Lat/Klrc1/Itgal/Dock10/Pglyrp4/Tnfsf4/Pglyrp2/Blk/Mfng",52
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","64/1402","294/13303",1.05653239307076e-08,2.14814166159147e-06,1.79365836162581e-06,"Gab1/Ifi27/Ccl5/Nfkbia/Csf1r/Aim2/Tnf/Chuk/Trp53/Crlf2/Il33/Crlf1/Ccl4/Rbm15/Il2rg/Oas2/Irf5/Trex1/Oas1c/Il15/Adar/Cebpa/Oasl1/Ptprn/Il1a/Trim6/Socs1/Il18r1/Cxcl2/Il2rb/Il6/Ccl25/Edn1/Ccl2/Ccl20/Csf2ra/Il1b/St18/Lepr/Il3ra/Ptprc/Cxcl1/Syk/Pparg/Cxcr2/Cxcl12/Irak3/Il1rn/Tnfsf13b/Ereg/Ccr2/Osm/Il20rb/Mmp12/Gas6/Ccl9/Ppbp/Ceacam1/Pf4/Tnfsf11/Ifitm1/Tnfrsf13c/C1qtnf4/Il23r",64
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","72/1402","348/13303",1.24244608377422e-08,2.42898209377859e-06,2.02815490274399e-06,"Hspb1/Cd274/Ccl5/Ass1/Tnf/Havcr2/Klf4/Crtam/Icam1/Il2rg/Il15/Nckap1l/Adtrp/Pag1/Il1a/Smad7/Foxj1/Ccdc88b/Socs1/L1cam/Fut4/Cd5/Il6/Cebpb/Ccl25/Nr4a3/Lgals7/Ptafr/Megf10/Ccl2/Prkcq/Mad2l2/Pdpn/Nfkbid/Il1b/Zc3h12d/Ptprc/Ccr7/Syk/Muc4/Runx3/Cd300a/Rgcc/Cxcl12/H2-DMa/Slamf1/Il1rn/Tnfsf13b/Abca12/Bmp2/Ccr2/Efnb3/Ikzf1/Slfn1/Abat/Btn1a1/Skint2/Ido1/Nlrp3/Il20rb/Itgal/Cd6/Tnfsf4/Ceacam1/Notch4/Adora2a/Tnfsf11/Wnt4/Blk/Tnfrsf13c/Tenm3/Lag3",72
"GO:0051249","GO:0051249","regulation of lymphocyte activation","73/1402","357/13303",1.65021246159505e-08,3.10667775640282e-06,2.59401818524414e-06,"Hspb1/Cd274/Ccl5/Havcr2/Id2/Chrnb2/Crtam/Il2rg/Ulbp1/Trex1/Il15/Nckap1l/Pag1/Il1a/Smad7/Foxj1/Ccdc88b/Zeb1/Socs1/Inpp5d/Cd5/Il6/Cebpb/Lgals7/Cyp26b1/Slc15a4/Ccl2/Ripk3/Prkcq/Mad2l2/Prdm1/Nfkbid/Cdkn1a/Cd40/Il1b/Zc3h12d/Trbc1/Ptprc/Ccr7/Syk/Runx3/Cd300a/H2-DMa/Slamf1/Tnfsf13b/Ccr2/Efnb3/Ikzf1/Slfn1/Btn1a1/Trdc/Sox11/Il27/Skint2/Ido1/Nlrp3/Trbc2/Il20rb/Lat/Klrc1/Itgal/Gas6/Cd6/Pglyrp4/Tnfsf4/Ceacam1/Adora2a/Tnfsf11/Pglyrp2/Blk/Tnfrsf13c/Lag3/Themis2",73
"GO:0002263","GO:0002263","cell activation involved in immune response","52/1402","221/13303",1.71585262547527e-08,3.11488531974672e-06,2.60087134808884e-06,"Havcr2/Eomes/Trp53/Il33/Cd84/Icam1/Relb/Trex1/Gadd45g/Nckap1l/Gata2/Cdh17/Smad7/Stx11/Il18r1/Hmox1/Vamp2/Il6/Nr4a3/Ptafr/Slc15a4/Lat2/Mad2l2/Nfkbid/Cd40/Itgam/Dnase1l3/Ptprc/Ccr7/Clec4d/Bcl3/Syk/Plcl2/Dock2/Slc11a1/Dock11/Cd300a/Slamf1/Ccr2/Dysf/Ptger4/Il27/Nlrp3/Lat/Klrc1/Itgal/Dock10/Pglyrp4/Tnfsf4/Pglyrp2/Blk/Mfng",52
"GO:0032496","GO:0032496","response to lipopolysaccharide","50/1402","210/13303",2.14080676044654e-08,3.75231750460336e-06,3.13311537499835e-06,"Cmpk2/P2rx7/Trim30a/Cd274/Trim12c/Ccl5/Nfkbia/Arid5a/Nr1d1/Tnf/Chuk/Havcr2/Serpine1/Cd84/Mrc1/Gch1/S100a14/Pde2a/Il1a/Cd68/Trim6/Cxcl2/Il6/Cebpb/Ptafr/Smad6/Ccl2/Prdm1/Il1b/Nos2/Shpk/Ccr7/Trim12a/Cxcl1/Trim30d/Slc11a1/Irak3/Ggt1/Zfp36/Ptger4/Cnr1/Ido1/Nlrp3/Fcgr4/Cd6/Ppbp/Tnfsf4/Pf4/Ncf2/Il23r",50
"GO:0002274","GO:0002274","myeloid leukocyte activation","44/1402","174/13303",2.24601783033335e-08,3.8055028771948e-06,3.17752417259792e-06,"Clu/Ccl5/Adgrf5/Nr1d1/Tnf/Havcr2/Crlf2/Il1rl1/Il33/Cd84/Ulbp1/Relb/Trex1/Il15/Syt11/Cebpa/Gata2/Stx11/Hmox1/Vamp2/Nr4a3/Ptafr/Lat2/Itgam/Shpk/Dnase1l3/Clec4d/Syk/Dock2/Slc11a1/Pparg/Cd300a/Cxcr2/Slamf1/Cftr/Ccr2/Dysf/Cnr1/Fcgr3/Lat/Fcgr4/Csf2/Blk/Slc7a2",44
